user_id,home_currency,known_sum,incomplete,ratio_to_positive_headroom
user_100,ZAR,1027.4,False,0.02864748673652594
user_101,INR,15660.0,False,0.056236163156694566
user_102,EUR,86.0,False,0.02297168072569142
user_103,INR,7490.0,False,0.17318319498716733
user_120,IDR,587100.0,False,0.05018514909374391
user_121,USD,25.0,False,0.026567481402763018
user_122,IDR,950000.0,False,0.02147438857532563
user_123,IDR,1388900.0,False,0.030448183938687104
user_138,EUR,134.75,False,0.10021195106533298
user_140,ZAR,2004.2,False,0.15323801513877208
user_141,INR,3810.0,False,0.06896551724137931
user_142,USD,65.0,False,0.015137929829872956
user_143,ZAR,426.8,False,0.0484394506866417
user_156,ZAR,1617.0,False,0.10634449829993486
user_160,EUR,87.0,False,0.09210150220726013
user_161,IDR,1056400.0,False,0.05773324334146721
user_162,IDR,1844900.0,False,0.1766096762459076
user_163,IDR,1711900.0,False,0.07511356239118314
user_180,INR,2290.0,False,0.023443898443898444
user_181,USD,92.0,False,0.06754772393538913
user_182,ZAR,1243.0,False,0.013236034811942885
user_183,IDR,1330000.0,False,0.04392639374551777
user_198,INR,8800.0,False,0.03248551072391007
user_200,IDR,1014600.0,False,0.0300430391853498
user_201,IDR,665000.0,False,0.010961134947229965
user_202,INR,9930.0,False,0.045495154972166864
user_203,EUR,97.0,False,0.01400240783672904
user_210,USD,145.8,False,0.09558649988199197
user_220,EUR,80.0,False,0.2065475575751317
user_221,INR,2990.0,False,0.01600599555686411
user_222,ZAR,1139.6,False,0.012550425818018825
user_223,EUR,64.0,False,0.04397084183550782
user_234,EUR,45.65,False,0.07949499346974315
user_240,INR,2520.0,False,0.06312625250501001
user_241,IDR,1539000.0,False,0.021700409044419493
user_242,EUR,68.0,False,0.15546410608139
user_243,ZAR,1071.4,False,0.03886051707628471
user_252,IDR,988000.0,False,0.09783631232361242
user_260,IDR,1537100.0,False,0.10206913954075196
user_261,EUR,89.0,False,0.02764868156174665
user_262,IDR,2941200.0,False,0.05125148986889154
user_263,ZAR,968.0,False,0.06576980568011959
user_40,EUR,43.0,False,0.04809843400447427
user_41,IDR,2920300.0,False,0.11771012827876699
user_42,INR,8100.0,False,0.05448491575017657
user_43,IDR,1254000.0,False,0.08226861950763478
user_60,USD,35.0,False,0.12337410553773483
user_61,ZAR,2290.2,False,0.02067523015886127
user_62,USD,145.0,False,0.03764825623662838
user_63,INR,8150.0,False,0.08291367821354087
user_64,INR,,True,
user_80,INR,6710.0,False,0.04224775696521328
user_81,USD,173.0,False,0.05046306424560636
user_82,USD,91.0,False,0.08254716981132075
user_83,INR,2800.0,False,0.0899453902987472
