message_id,user_id,payroll,timing_change,amount_change,cancellation_or_end,unsettled_or_dispute,transfer_or_multiple_accounts,unmatched
message_18,user_26,False,False,False,False,False,False,True
message_19,user_27,False,False,False,False,True,False,False
message_20,user_28,True,False,False,False,False,False,False
message_21,user_29,True,False,True,True,False,False,False
message_22,user_32,True,False,False,False,False,False,False
message_23,user_33,False,False,False,False,False,True,False
message_24,user_34,False,False,False,False,True,False,False
message_25,user_35,False,False,False,False,False,False,True
message_26,user_36,True,True,True,False,False,False,False
message_27,user_37,True,False,False,False,False,False,False
message_28,user_38,False,False,False,False,False,False,True
message_29,user_40,True,False,False,False,False,False,False
message_30,user_42,True,False,False,True,False,False,False
message_31,user_43,True,False,False,False,False,False,False
message_32,user_44,True,False,False,False,False,False,False
message_33,user_45,True,False,True,False,False,False,False
message_34,user_47,False,True,True,False,False,False,False
message_35,user_48,False,False,False,False,False,False,True
message_36,user_49,True,False,True,False,False,False,False
message_37,user_50,True,False,False,True,False,False,False
message_38,user_52,True,False,False,False,False,False,False
message_39,user_53,False,False,False,False,False,False,True
message_40,user_54,True,True,True,False,False,False,False
message_41,user_57,False,False,False,False,False,True,False
message_42,user_58,True,False,True,True,False,False,False
message_43,user_59,False,False,False,False,True,False,False
message_44,user_60,True,False,True,False,False,False,False
message_45,user_61,True,False,True,True,False,False,False
message_46,user_62,False,False,False,False,True,False,False
message_47,user_64,False,False,False,False,False,False,True
message_48,user_65,True,False,False,False,False,False,False
message_49,user_66,False,False,False,False,True,False,False
message_50,user_68,True,True,False,False,False,False,False
message_51,user_69,False,False,True,False,False,False,False
message_52,user_70,False,False,True,False,False,False,False
message_53,user_71,True,False,False,False,False,False,False
message_54,user_72,True,False,False,False,False,False,False
message_55,user_73,False,False,True,False,False,False,False
message_56,user_74,False,False,False,False,True,False,False
message_57,user_75,True,False,False,True,False,False,False
message_58,user_76,True,False,False,False,True,False,False
message_59,user_77,False,False,False,False,False,False,True
message_60,user_80,True,False,False,False,True,False,False
message_61,user_81,False,False,True,False,False,False,False
message_62,user_82,True,False,False,False,False,False,False
message_63,user_83,True,False,False,False,False,False,False
message_64,user_84,False,False,False,False,False,False,True
message_65,user_85,True,False,False,False,False,False,False
message_66,user_87,True,False,False,False,False,False,False
message_67,user_88,False,False,False,False,False,False,True
message_68,user_90,False,False,False,False,True,False,False
message_69,user_91,False,False,False,False,True,False,False
message_70,user_92,True,False,False,False,True,False,False
message_71,user_93,False,False,False,False,False,False,True
message_72,user_94,False,False,False,False,True,False,False
message_73,user_95,True,True,False,False,False,False,False
message_74,user_98,True,False,False,False,False,False,False
message_75,user_101,False,False,False,False,False,False,True
message_76,user_102,False,False,False,False,True,False,False
message_77,user_103,True,False,True,False,False,False,False
message_78,user_104,True,False,False,False,True,False,False
message_79,user_105,False,False,True,False,False,False,False
message_80,user_106,True,False,False,False,False,False,False
message_81,user_107,True,False,False,False,False,False,False
message_82,user_108,True,False,False,False,True,False,False
message_83,user_110,False,False,False,False,True,False,False
message_84,user_111,True,False,False,True,False,False,False
message_85,user_112,True,False,False,False,False,False,False
message_86,user_113,True,False,False,False,False,False,False
message_87,user_114,True,False,True,False,False,False,False
message_88,user_115,False,False,False,False,False,False,True
message_89,user_117,True,True,True,False,False,False,False
message_90,user_118,True,False,False,False,False,False,False
message_91,user_119,True,False,False,False,False,False,False
message_92,user_120,False,True,False,False,False,False,False
message_93,user_122,False,False,False,False,False,False,True
message_94,user_123,False,True,True,False,False,False,False
message_95,user_125,True,False,False,False,False,False,False
message_96,user_126,False,False,False,False,True,False,False
message_97,user_127,True,False,False,False,False,False,False
message_98,user_128,True,False,False,False,False,False,False
message_99,user_129,False,False,False,False,False,False,True
message_100,user_130,True,False,True,False,False,False,False
message_101,user_131,True,True,False,False,False,False,False
message_102,user_132,True,False,True,False,False,False,False
message_103,user_133,True,False,True,True,False,False,False
message_104,user_135,True,True,True,False,False,False,False
